iter	MultiClass
288	0.03624431474
289	0.03611915353
290	0.03596012114
291	0.03580253282
292	0.03551852686
293	0.03544851278
294	0.03530339191
295	0.03511552897
296	0.03498733786
297	0.03486501565
298	0.03468190809
299	0.03449913629
300	0.03423619548
301	0.03404535227
302	0.03392588668
303	0.03378163319
304	0.03373762791
305	0.03348225798
306	0.03314049034
307	0.0328854538
308	0.03278145269
309	0.03264843296
310	0.03252408158
311	0.0322974041
312	0.03218598185
313	0.03207934113
314	0.03190928199
315	0.03181066705
316	0.03177201017
317	0.03170844707
318	0.03162106093
319	0.03151877736
320	0.03139493356
321	0.0312540671
322	0.03115066804
323	0.03100588252
324	0.03089357144
325	0.03085809301
326	0.03076461862
327	0.03066709324
328	0.03050795932
329	0.03031723391
330	0.03021326798
331	0.03003763058
332	0.02994904084
333	0.02981111351
334	0.02972158337
335	0.02968603154
336	0.02940417245
337	0.02929763753
338	0.02912395021
339	0.02908529062
340	0.02892327383
341	0.0288802132
342	0.02872227206
343	0.0285960833
344	0.02855566355
345	0.02841288427
346	0.02834707867
347	0.02817322392
348	0.02804835481
349	0.02795558999
350	0.02778220171
351	0.02761119968
352	0.02749974513
353	0.02747094017
354	0.0273947681
355	0.02735982739
356	0.0272532802
357	0.0272078293
358	0.02703369261
359	0.02692456339
360	0.02671913981
361	0.0265725737
362	0.02641629776
363	0.02633187651
364	0.02630780279
365	0.0261567282
366	0.02595849259
367	0.02588424823
368	0.02576340346
369	0.02566832239
370	0.0256014502
371	0.02553323146
372	0.02545907283
373	0.02541283096
374	0.02530662904
375	0.02518111815
376	0.02515907229
377	0.02508897649
378	0.02500726014
379	0.02491017849
380	0.0247995719
381	0.02472240439
382	0.02456478288
383	0.02450196154
384	0.02441773279
385	0.02438987258
386	0.02426204438
387	0.02423575366
388	0.02417334125
389	0.02406922316
390	0.02401909099
391	0.0239836996
392	0.02396538116
393	0.02380400368
394	0.02376544381
395	0.02367451575
396	0.02358109875
397	0.02344734602
398	0.02332148596
399	0.02317620564
